	mean_fit_time	std_fit_time	mean_score_time	std_score_time	param_max_depth	param_learning_rate	params	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score	split0_train_score	split1_train_score	split2_train_score	split3_train_score	split4_train_score	mean_train_score	std_train_score
0	12.606167888641357	1.4092000764140011	0.0696561336517334	0.013388095231540397	5	0.025	{'max_depth': 5, 'learning_rate': 0.025}	-1.6547724063827902	-1.5697984582608258	-1.352526090531246	-1.2899612708569743	-1.497006966154864	-1.4728130384373401	0.13491067276066318	12	-1.2307388681422797	-1.2359384000453462	-1.260816999953568	-1.2671046174648222	-1.2530779602386524	-1.2495353691689337	0.014047701951019873
1	63.472103643417356	2.5930814624492413	0.07508306503295899	0.009786425566597515	10	0.025	{'max_depth': 10, 'learning_rate': 0.025}	-1.603449088659364	-1.500699891588791	-1.3029614300595558	-1.1926169714606998	-1.4420483164034155	-1.4083551396343652	0.14517246539571596	9	-0.8485954431171969	-0.8603011539996961	-0.869418492945621	-0.8482729529027005	-0.8950950934276742	-0.8643366272785776	0.017285948954826148
2	144.71009407043456	3.9305501424517795	0.0976757526397705	0.016777905213534606	15	0.025	{'max_depth': 15, 'learning_rate': 0.025}	-1.6066111391156468	-1.4901070937371463	-1.3288337304261142	-1.2227518096638523	-1.4233028024268757	-1.414321315073927	0.1317623089693216	10	-0.6539489882765178	-0.6790079319780461	-0.6751758146891534	-0.6685012057595772	-0.6851504715230861	-0.6723568824452761	0.010673102368174281
3	185.80532670021057	5.703981878956984	0.12477655410766601	0.01439262012526314	20	0.025	{'max_depth': 20, 'learning_rate': 0.025}	-1.623186729991549	-1.5014124830487605	-1.328259778322552	-1.2196724424681928	-1.4234016540788057	-1.419186617581972	0.13890176493953718	11	-0.6079269704729151	-0.6225016087117595	-0.6262833527608295	-0.6315613835437583	-0.6323760215691967	-0.624129867411692	0.00886621774108865
4	11.566656589508057	1.1020750523842013	0.06348981857299804	0.008986454985880812	5	0.05	{'max_depth': 5, 'learning_rate': 0.05}	-1.543354006419273	-1.4527558096068027	-1.2737424662082626	-1.19011601974927	-1.3710104778758196	-1.3661957559718856	0.12526176945118853	8	-1.0061850059975694	-1.0034736358403855	-1.0114499900052762	-1.0246778131579497	-1.0103292705751268	-1.0112231431152616	0.00731185752332675
5	65.77176895141602	3.00809465720179	0.06694064140319825	0.011469747991248988	10	0.05	{'max_depth': 10, 'learning_rate': 0.05}	-1.49939335493104	-1.3893909215164444	-1.220669851658905	-1.069246402478172	-1.3243609385764925	-1.3006122938322109	0.1468880681709332	2	-0.43377751561592603	-0.45172281165222883	-0.46772609073597443	-0.45254318835345636	-0.508887279383725	-0.46293137714826216	0.025370960871932458
6	181.93057599067689	3.130017869478471	0.09727730751037597	0.024026943964251146	15	0.05	{'max_depth': 15, 'learning_rate': 0.05}	-1.490807819855619	-1.3894481750605743	-1.2533476661907061	-1.0975065976304736	-1.300431629237421	-1.3063083775949587	0.1322042560261642	3	-0.1735764166502899	-0.16624649945028824	-0.15644540711343174	-0.16173190926309922	-0.19716617930825767	-0.17103328235707332	0.014224139842173937
7	259.8660610198975	6.5314792045108065	0.12914595603942872	0.033117501685673546	20	0.05	{'max_depth': 20, 'learning_rate': 0.05}	-1.5160091563108464	-1.377125524027986	-1.2847463375477188	-1.1166657970761324	-1.3118765351512762	-1.3212846700227918	0.12986783469663066	4	-0.10224312910239627	-0.10805384806217712	-0.10857525038624331	-0.10910712362268986	-0.11430049239963133	-0.10845596871462759	0.0038303463290539274
8	10.640869998931885	1.0205534685869135	0.05651693344116211	0.005224916809027763	5	0.1	{'max_depth': 5, 'learning_rate': 0.1}	-1.523594904344395	-1.4280404696255395	-1.2347700047034482	-1.2197764706576573	-1.3348089817366164	-1.3481981662135314	0.11547827426407266	7	-0.8617928371755796	-0.8319359401622196	-0.849383920097229	-0.8682839611860163	-0.8397125759329306	-0.8502218469107949	0.013458447690930507
9	68.47373671531678	2.3261327838890513	0.0712850570678711	0.006809191395451428	10	0.1	{'max_depth': 10, 'learning_rate': 0.1}	-1.5121249454942163	-1.3628133743172135	-1.195111930429414	-1.054152950750102	-1.2943096050022935	-1.283702561198648	0.15433025581199256	1	-0.20573853415724208	-0.21372091022356404	-0.2382828658415853	-0.23939206190965737	-0.24445242904845438	-0.2283173602361006	0.015525208563999646
10	188.0013594150543	10.365592324189727	0.10320029258728028	0.019298689246619004	15	0.1	{'max_depth': 15, 'learning_rate': 0.1}	-1.510001242977078	-1.3808052587244977	-1.2951312640984523	-1.1204488577472755	-1.3272242293890417	-1.326722170587269	0.12654099400932448	5	-0.02713910405432095	-0.03772212992798976	-0.030744177296523983	-0.026623221180559067	-0.04441733714887248	-0.03332919392165325	0.0068149013331850715
11	293.1329439163208	19.841951219634094	0.1347407341003418	0.020005281640549672	20	0.1	{'max_depth': 20, 'learning_rate': 0.1}	-1.5284836162120992	-1.383786919604632	-1.2953833446537246	-1.1113231600272402	-1.3389473662739246	-1.331584881354324	0.13518442803202235	6	-0.006347918612480576	-0.007854559856661773	-0.009213862328934529	-0.008506297080882016	-0.011831382458172997	-0.00875080406742638	0.001807831963235198
